  PID  SPID TTY          TIME CMD
 3673  3749 ?        00:00:00 dconf worker
 3695  3695 ?        00:00:00 gsd-printer
 3695  3706 ?        00:00:00 gmain
 3695  3709 ?        00:00:00 gdbus
 3726  3726 ?        00:02:08 nautilus-deskto
 3726  3727 ?        00:00:00 gmain
 3726  3728 ?        00:00:00 gdbus
 3726  3828 ?        00:00:00 dconf worker
 3726  3837 ?        00:01:32 nautilus-deskto
 3734  3734 ?        00:00:02 gvfsd-trash
 3734  3736 ?        00:00:00 gmain
 3734  3737 ?        00:00:00 gdbus
 3743  3743 ?        00:00:00 evolution-calen
 3743  3752 ?        00:00:00 evolution-calen
 3743  3815 ?        00:00:00 dconf worker
 3743  3816 ?        00:00:00 evolution-calen
 3743  3817 ?        00:00:00 gmain
 3743  3818 ?        00:00:00 gdbus
